nCodigo;nPadre;sCNAE;sDescripcion
1;0;A;Agricultura, ganadería, silvicultura y pesca
2;1;01;Agricultura, ganadería, caza y servicios relacionados con las mismas
3;2;011;Cultivos no perennes
4;3;0111;Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas
5;3;0112;Cultivo de arroz
6;3;0113;Cultivo de hortalizas, raíces y tubérculos
7;3;0114;Cultivo de caña de azúcar
8;3;0115;Cultivo de tabaco
9;3;0116;Cultivo de plantas para fibras textiles
10;3;0119;Otros cultivos no perennes
11;2;012;Cultivos perennes
12;11;0121;Cultivo de la vid
13;11;0122;Cultivo de frutos tropicales y subtropicales
14;11;0123;Cultivo de cítricos
15;11;0124;Cultivo de frutos con hueso y pepitas
16;11;0125;Cultivo de otros árboles y arbustos frutales y frutos secos
17;11;0126;Cultivo de frutos oleaginosos
18;11;0127;Cultivo de plantas para bebidas
19;11;0128;Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas
20;11;0129;Otros cultivos perennes
21;2;013;Propagación de plantas
22;21;0130;Propagación de plantas
23;2;014;Producción ganadera
24;23;0141;Explotación de ganado bovino para la producción de leche
25;23;0142;Explotación de otro ganado bovino y búfalos
26;23;0143;Explotación de caballos y otros equinos
27;23;0144;Explotación de camellos y otros camélidos
28;23;0145;Explotación de ganado ovino y caprino
29;23;0146;Explotación de ganado porcino
30;23;0147;Avicultura
31;23;0149;Otras explotaciones de ganado
32;2;015;Producción agrícola combinada con la producción ganadera
33;32;0150;Producción agrícola combinada con la producción ganadera
34;2;016;Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha
35;34;0161;Actividades de apoyo a la agricultura
36;34;0162;Actividades de apoyo a la ganadería
37;34;0163;Actividades de preparación posterior a la cosecha
38;34;0164;Tratamiento de semillas para reproducción
39;2;017;Caza, captura de animales y servicios relacionados con las mismas
40;39;0170;Caza, captura de animales y servicios relacionados con las mismas
41;1;02;Silvicultura y explotación forestal
42;41;021;Silvicultura y otras actividades forestales
43;42;0210;Silvicultura y otras actividades forestales
44;41;022;Explotación de la madera
45;44;0220;Explotación de la madera
46;41;023;Recolección de productos silvestres, excepto madera
47;46;0230;Recolección de productos silvestres, excepto madera
48;41;024;Servicios de apoyo a la silvicultura
49;48;0240;Servicios de apoyo a la silvicultura
50;1;03;Pesca y acuicultura
51;50;031;Pesca
52;51;0311;Pesca marina
53;51;0312;Pesca en agua dulce
54;50;032;Acuicultura
55;54;0321;Acuicultura marina
56;54;0322;Acuicultura en agua dulce
57;0;B;Industrias extractivas
58;57;05;Extracción de antracita, hulla y lignito
59;58;051;Extracción de antracita y hulla
60;59;0510;Extracción de antracita y hulla
61;58;052;Extracción de lignito
62;61;0520;Extracción de lignito
63;57;06;Extracción de crudo de petróleo y gas natural
64;63;061;Extracción de crudo de petróleo
65;64;0610;Extracción de crudo de petróleo
66;63;062;Extracción de gas natural
67;66;0620;Extracción de gas natural
68;57;07;Extracción de minerales metálicos
69;68;071;Extracción de minerales de hierro
70;69;0710;Extracción de minerales de hierro
71;68;072;Extracción de minerales metálicos no férreos
72;71;0721;Extracción de minerales de uranio y torio
73;71;0729;Extracción de otros minerales metálicos no férreos
74;57;08;Otras industrias extractivas
75;74;081;Extracción de piedra, arena y arcilla
76;75;0811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra
77;75;0812;"Extracción de gravas y arenas; extracción de arcilla y caolín"
78;74;089;Industrias extractivas n.c.o.p.
79;78;0891;Extracción de minerales para productos químicos y fertilizantes
80;78;0892;Extracción de turba
81;78;0893;Extracción de sal
82;78;0899;Otras industrias extractivas n.c.o.p.
83;57;09;Actividades de apoyo a las industrias extractivas
84;83;091;Actividades de apoyo a la extracción de petróleo y gas natural
85;84;0910;Actividades de apoyo a la extracción de petróleo y gas natural
86;83;099;Actividades de apoyo a otras industrias extractivas
87;86;0990;Actividades de apoyo a otras industrias extractivas
88;0;C;Industria manufacturera
89;88;10;Industria de la alimentación
90;89;101;Procesado y conservación de carne y elaboración de productos cárnicos
91;90;1011;Procesado y conservación de carne
92;90;1012;Procesado y conservación de volatería
93;90;1013;Elaboración de productos cárnicos y de volatería
94;89;102;Procesado y conservación de pescados, crustáceos y moluscos
95;94;1021;Procesado de pescados, crustáceos y moluscos
96;94;1022;Fabricación de conservas de pescado
97;89;103;Procesado y conservación de frutas y hortalizas
98;97;1031;Procesado y conservación de patatas
99;97;1032;Elaboración de zumos de frutas y hortalizas
100;97;1039;Otro procesado y conservación de frutas y hortalizas
101;89;104;Fabricación de aceites y grasas vegetales y animales
102;101;1042;Fabricación de margarina y grasas comestibles similares
103;101;1043;Fabricación de aceite de oliva
104;101;1044;Fabricación de otros aceites y grasas
105;89;105;Fabricación de productos lácteos
106;105;1052;Elaboración de helados
107;105;1053;Fabricación de quesos
108;105;1054;Preparación de leche y otros productos lácteos
109;89;106;Fabricación de productos de molinería, almidones y productos amiláceos
110;109;1061;Fabricación de productos de molinería
111;109;1062;Fabricación de almidones y productos amiláceos
112;89;107;Fabricación de productos de panadería y pastas alimenticias
113;112;1071;Fabricación de pan y de productos frescos de panadería y pastelería
114;112;1072;Fabricación de galletas y productos de panadería y pastelería de larga duración
115;112;1073;Fabricación de pastas alimenticias, cuscús y productos similares
116;89;108;Fabricación de otros productos alimenticios
117;116;1081;Fabricación de azúcar
118;116;1082;Fabricación de cacao, chocolate y productos de confitería
119;116;1083;Elaboración de café, té e infusiones
120;116;1084;Elaboración de especias, salsas y condimentos
121;116;1085;Elaboración de platos y comidas preparados
122;116;1086;Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos
123;116;1089;Elaboración de otros productos alimenticios n.c.o.p.
124;89;109;Fabricación de productos para la alimentación animal
125;124;1091;Fabricación de productos para la alimentación de animales de granja
126;124;1092;Fabricación de productos para la alimentación de animales de compañía
127;88;11;Fabricación de bebidas
128;127;110;Fabricación de bebidas
129;128;1101;Destilación, rectificación y mezcla de bebidas alcohólicas
130;128;1102;Elaboración de vinos
131;128;1103;Elaboración de sidra y otras bebidas fermentadas a partir de frutas
132;128;1104;Elaboración de otras bebidas no destiladas, procedentes de la fermentación
133;128;1105;Fabricación de cerveza
134;128;1106;Fabricación de malta
135;128;1107;"Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas"
136;88;12;Industria del tabaco
137;136;120;Industria del tabaco
138;137;1200;Industria del tabaco
139;88;13;Industria textil
140;139;131;Preparación e hilado de fibras textiles
141;140;1310;Preparación e hilado de fibras textiles
142;139;132;Fabricación de tejidos textiles
143;142;1320;Fabricación de tejidos textiles
144;139;133;Acabado de textiles
145;144;1330;Acabado de textiles
146;139;139;Fabricación de otros productos textiles
147;146;1391;Fabricación de tejidos de punto
148;146;1392;Fabricación de artículos confeccionados con textiles, excepto prendas de vestir
149;146;1393;Fabricación de alfombras y moquetas
150;146;1394;Fabricación de cuerdas, cordeles, bramantes y redes
151;146;1395;Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir
152;146;1396;Fabricación de otros productos textiles de uso técnico e industrial
153;146;1399;Fabricación de otros productos textiles n.c.o.p.
154;88;14;Confección de prendas de vestir
155;154;141;Confección de prendas de vestir, excepto de peletería
156;155;1411;Confección de prendas de vestir de cuero
157;155;1412;Confección de ropa de trabajo
158;155;1413;Confección de otras prendas de vestir exteriores
159;155;1414;Confección de ropa interior
160;155;1419;Confección de otras prendas de vestir y accesorios
161;154;142;Fabricación de artículos de peletería
162;161;1420;Fabricación de artículos de peletería
163;154;143;Confección de prendas de vestir de punto
164;163;1431;Confección de calcetería
165;163;1439;Confección de otras prendas de vestir de punto
166;88;15;Industria del cuero y del calzado
167;166;151;"Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles"
168;167;1511;"Preparación, curtido y acabado del cuero; preparación y teñido de pieles"
169;167;1512;Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería
170;166;152;Fabricación de calzado
171;170;1520;Fabricación de calzado
172;88;16;"Industria de la madera y del corcho, excepto muebles; cestería y espartería"
173;172;161;Aserrado y cepillado de la madera
174;173;1610;Aserrado y cepillado de la madera
175;172;162;Fabricación de productos de madera, corcho, cestería y espartería
176;175;1621;Fabricación de chapas y tableros de madera
177;175;1622;Fabricación de suelos de madera ensamblados
178;175;1623;Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción
179;175;1624;Fabricación de envases y embalajes de madera
180;175;1629;"Fabricación de otros productos de madera; artículos de corcho, cestería y espartería"
181;88;17;Industria del papel
182;181;171;Fabricación de pasta papelera, papel y cartón
183;182;1711;Fabricación de pasta papelera
184;182;1712;Fabricación de papel y cartón
185;181;172;Fabricación de artículos de papel y de cartón
186;185;1721;"Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón"
187;185;1722;Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico
188;185;1723;Fabricación de artículos de papelería
189;185;1724;Fabricación de papeles pintados
190;185;1729;Fabricación de otros artículos de papel y cartón
191;88;18;Artes gráficas y reproducción de soportes grabados
192;191;181;Artes gráficas y servicios relacionados con las mismas
193;192;1811;Artes gráficas y servicios relacionados con las mismas
194;192;1812;Otras actividades de impresión y artes gráficas
195;192;1813;Servicios de preimpresión y preparación de soportes
196;192;1814;Encuadernación y servicios relacionados con la misma
197;191;182;Reproducción de soportes grabados
198;197;1820;Reproducción de soportes grabados
199;88;19;Coquerías y refino de petróleo
200;199;191;Coquerías
201;200;1910;Coquerías
202;199;192;Refino de petróleo
203;202;1920;Refino de petróleo
204;88;20;Industria química
205;204;201;Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias
206;205;2011;Fabricación de gases industriales
207;205;2012;Fabricación de colorantes y pigmentos
208;205;2013;Fabricación de otros productos básicos de química inorgánica
209;205;2014;Fabricación de otros productos básicos de química orgánica
210;205;2015;Fabricación de fertilizantes y compuestos nitrogenados
211;205;2016;Fabricación de plásticos en formas primarias
212;205;2017;Fabricación de caucho sintético en formas primarias
