sCNAE;idAño;nIT;nIMS;nTotal
01;2010;1.50;1.10;2.60
01;2011;1.50;1.10;2.60
01;2013;1.50;1.10;2.60
011;2010;1.50;1.10;2.60
011;2011;1.50;1.10;2.60
011;2013;1.50;1.10;2.60
0111;2010;1.50;1.10;2.60
0111;2011;1.50;1.10;2.60
0111;2013;1.50;1.10;2.60
0112;2010;1.50;1.10;2.60
0112;2011;1.50;1.10;2.60
0112;2013;1.50;1.10;2.60
0113;2010;1.15;1.10;2.25
0113;2011;1.15;1.10;2.25
0113;2013;1.15;1.10;2.25
0114;2010;1.50;1.10;2.60
0114;2011;1.50;1.10;2.60
0114;2013;1.50;1.10;2.60
0115;2010;1.50;1.10;2.60
0115;2011;1.50;1.10;2.60
0115;2013;1.50;1.10;2.60
0116;2010;1.50;1.10;2.60
0116;2011;1.50;1.10;2.60
0116;2013;1.50;1.10;2.60
0119;2010;1.15;1.10;2.25
0119;2011;1.15;1.10;2.25
0119;2013;1.15;1.10;2.25
012;2010;1.50;1.10;2.60
012;2011;1.50;1.10;2.60
012;2013;1.50;1.10;2.60
0121;2010;1.50;1.10;2.60
0121;2011;1.50;1.10;2.60
0121;2013;1.50;1.10;2.60
0122;2010;1.50;1.10;2.60
0122;2011;1.50;1.10;2.60
0122;2013;1.50;1.10;2.60
0123;2010;1.50;1.10;2.60
0123;2011;1.50;1.10;2.60
0123;2013;1.50;1.10;2.60
0124;2010;1.50;1.10;2.60
0124;2011;1.50;1.10;2.60
0124;2013;1.50;1.10;2.60
0125;2010;1.50;1.10;2.60
0125;2011;1.50;1.10;2.60
0125;2013;1.50;1.10;2.60
0126;2010;1.50;1.10;2.60
0126;2011;1.50;1.10;2.60
0126;2013;1.50;1.10;2.60
0127;2010;1.50;1.10;2.60
0127;2011;1.50;1.10;2.60
0127;2013;1.50;1.10;2.60
0128;2010;1.50;1.10;2.60
0128;2011;1.50;1.10;2.60
0128;2013;1.50;1.10;2.60
0129;2010;2.25;2.90;5.15
0129;2011;2.25;2.90;5.15
0129;2013;2.25;2.90;5.15
013;2010;1.50;1.10;2.60
013;2011;1.50;1.10;2.60
013;2013;1.50;1.10;2.60
0130;2010;1.15;1.10;2.25
0130;2011;1.15;1.10;2.25
0130;2013;1.15;1.10;2.25
014;2010;1.80;1.50;3.30
014;2011;1.80;1.50;3.30
014;2013;1.80;1.50;3.30
0141;2010;1.80;1.50;3.30
0141;2011;1.80;1.50;3.30
0141;2013;1.80;1.50;3.30
0142;2010;1.80;1.50;3.30
0142;2011;1.80;1.50;3.30
0142;2013;1.80;1.50;3.30
0143;2010;1.80;1.50;3.30
0143;2011;1.80;1.50;3.30
0143;2013;1.80;1.50;3.30
0144;2010;1.80;1.50;3.30
0144;2011;1.80;1.50;3.30
0144;2013;1.80;1.50;3.30
0145;2010;1.80;1.50;3.30
0145;2011;1.80;1.50;3.30
0145;2013;1.80;1.50;3.30
0146;2010;1.80;1.50;3.30
